"IN","av","count"
1462,34.28,1
1463,46.2483333333333,6
1465,83.355,2
1466,48.6896153846154,26
1467,31.88,3
1468,76.0420588235294,34
1469,10.575,2
1470,41.205,2
1471,60,1
1472,38.8304,25
1473,44.664,5
1474,60,1
1475,90.9543902439024,41
1476,110.925555555556,9
1477,50.9546153846154,26
1478,129.681818181818,11
1479,86.41,3
1481,60,1
1482,60,1
1483,51.9766666666667,3
1484,60,1
1485,39.805,2
1486,64.1708333333333,12
1487,37.7982608695652,23
1490,87.0195652173913,23
1491,49.4046153846154,13
1492,32.9697142857143,35
1493,64.44,1
1494,41.28,4
1495,101.4,20
1496,103.609090909091,11
1497,31.4604,25
1498,74.876,10
1499,60,1
1500,61.9733333333333,9
1501,69.4466666666667,3
1502,60,1
1503,20.63,2
1505,60,1
1506,66.08,1
1507,46.7566666666667,18
1508,49.83,2
1509,79.4075,4
1510,0.505,2
1511,95.326375,80
1512,25.59,1
1513,76.61,6
1514,35.8590909090909,22
1516,110.087647058824,34
1517,60,8
1518,87.4445454545454,22
1519,33.92,2
1520,0.08,1
1521,83.7,1
1522,15.225,2
1523,12.955,2
1524,23.7424,25
1525,98.765,2
1526,60,1
1527,76.5978947368421,19
1528,29.0215789473684,19
1529,62.1786666666667,15
1530,53.5214285714286,21
1531,61.6106666666667,30
1532,29.7143333333333,30
1533,60,1
1534,63.9,2
1535,50.3338461538462,13
1536,35.1273333333333,30
1537,68.5488888888889,18
1538,48.187037037037,27
1539,122.860769230769,13
1540,77.8429411764706,17
1541,174.666666666667,3
1543,73.43,2
1544,30.075,2
1545,74.4656,25
1546,88.8,1
1547,60,1
1548,59.3483333333333,6
1549,71.3055882352941,34
1550,74.6333333333333,3
1551,67.6442857142857,7
1552,79.8657142857143,7
1553,60,1
1554,30.165,2
1555,71.58,2
1556,87.7175,8
1557,25.93,2
1558,50.5261904761905,21
1559,45.7233333333333,3
1560,2.18,1
1561,106.424230769231,26
1562,34.733,10
1563,89.5829166666667,24
1564,70.09,11
1565,54.0622222222222,18
1566,111.236923076923,13
1567,47.9732258064516,31
1568,79.6766666666667,3
1569,59.1,2
1571,83.2745,20
1572,31.8,2
1573,72.82,2
1574,60,1
1575,76.9235294117647,17
1576,96.0128571428571,7
1577,60,2
1578,62.85,1
1579,60.9088888888889,9
1580,74.1166666666667,30
1581,42.6175,12
1583,62.373125,16
1584,60,1
1585,3.35,1
1586,77.96875,24
1587,55.2127272727273,22
1588,92.8408333333333,12
1589,60,1
1590,60,1
1591,60,2
1592,67.9333333333333,3
1593,92.8613043478261,23
1594,76.7384615384615,13
1595,60,3
1596,81.8836842105263,19
1597,60,10
1598,84.9,5
1599,76.2993333333333,15
1600,47.8978571428571,14
1602,45.635,2
1603,52.0435,20
1604,51.9,7
1605,77.863,10
1606,1.91,1
1607,55.5766666666667,3
1608,46.48,8
1609,58.825,2
1611,60,1
1612,60,1
1613,39.6740740740741,27
1614,60,1
1615,47.19125,8
1616,84.2925,4
1617,14.5310526315789,19
1618,85.6988888888889,9
1619,57.078,10
1621,23.6875,4
1622,60,2
1623,60,1
1624,60,9
1625,58.1605882352941,17
1626,122.695,2
1627,82.6,2
1628,88.3533333333333,12
1629,66.429,10
1630,60,1
1631,101.710476190476,21
1633,54.7866666666667,3
1634,106.776,10
1635,76.446875,32
1636,49.929375,16
1638,60,1
1639,32.58,24
1640,67.6657142857143,7
1641,50.212,5
1642,38.8,1
1643,62.6208333333333,12
1644,49.745,2
1645,28.57,2
1646,68.98,1
1647,98.8766666666667,3
1648,68.3677777777778,9
1649,62.31,1
1650,60,1
1651,83.82,1
1652,52.08,1
1653,60,1
1654,60,1
1656,120.919894736842,95
1658,5.26,1
1659,38.91,1
1660,60,1
1661,63.4971428571429,28
1662,55.9711111111111,9
1663,87.8931818181818,22
1664,31.6343333333333,30
1665,60,1
1666,60,1
1667,100.473333333333,6
1668,52.6228571428571,7
1669,60,1
1670,13.25,2
1671,21.3,1
1672,84.7077777777778,9
1673,64.9827272727273,11
1674,62.4164285714286,14
1675,49.7833333333333,3
1676,77.794,5
1677,30.165,2
1678,12.59,1
1680,70.329375,16
1681,90.5283333333333,6
1682,30.12,2
1683,76.5965,20
1684,7.58,2
1685,49.7541666666667,12
1686,75.904,5
1687,67.3995238095238,63
1688,29.8,1
1689,60,7
1690,65.53,11
1692,47.9266666666667,3
1693,63.1666666666667,3
1694,46.054,5
1695,59.0985714285714,7
1696,50.9685714285714,7
1697,73.9323529411765,17
1698,33.7471428571429,7
1699,64.7313888888889,36
1700,65.5971428571429,7
1701,58.2233333333333,12
1702,60,3
1703,52.2614285714286,7
1704,30.075,2
1705,32.2425,8
1706,96.6209523809524,21
1707,60,1
1708,60,1
1709,53.8380769230769,26
1710,60,1
1711,40.0266666666667,3
1712,249.24,1
1713,39.88,2
1714,60,1
1715,43.5184615384615,13
1716,12.18,1
1717,75.0466666666667,3
1718,13.5148148148148,27
1719,19.556,30
1720,41.2296428571429,28
1721,40.8114285714286,7
1722,78.2916666666667,6
1723,78.0761764705882,34
1724,43.9063636363636,11
1726,46.5976470588235,17
1727,60,3
1728,31.66,1
1729,60,1
1730,56.6376470588235,17
1731,58.2153846153846,13
1733,0.36,1
1735,42.67,5
1738,3.68916666666667,12
1739,63.05,13
1740,60,5
1741,45.3685714285714,7
1742,73.8176666666667,30
1743,60,1
1745,37.5983333333333,6
1747,53.1666666666667,3
1748,77.46,1
1749,111.55,1
1750,62.486,5
1751,66.35,4
1752,34.1,7
