"IN","av","count"
185,63.4,1
186,60,1
187,56.94,1
188,60,1
189,76.9088888888889,9
190,35.8525925925926,27
191,44.4153333333333,15
192,129.963333333333,3
193,71.6,2
194,98.37,15
195,89.537619047619,21
196,0.21,1
197,54.175,2
198,75.3557142857143,14
199,60,2
200,60,1
201,74.4083333333333,6
202,83.7045,20
203,60,1
205,80.215,2
207,60,1
208,71.79,16
209,60,8
210,63.375,2
211,50.382,5
212,60,1
213,51.3377777777778,9
214,2.76,1
215,81.6518918918919,37
216,60,1
217,45.6592857142857,28
218,0.075,2
219,51.5911111111111,27
220,70.768,5
221,78.0097297297297,37
222,60,3
224,68.0056,25
225,37.3164705882353,17
226,60,1
227,39.82,2
228,73.5336666666667,30
229,102.911714285714,35
230,62.87375,16
232,112.0625,4
233,78.6385714285714,7
234,28.45,1
235,60,6
236,93.929,20
237,67.19,2
238,100.615,4
239,56.63,1
240,95.02,1
241,53.5175,20
242,60,1
243,70.92,3
244,96.2088888888889,36
245,50.77125,8
246,60,3
247,42.735,2
248,58.2028571428571,7
249,31.6133333333333,3
250,48.62,1
251,33.13,2
252,60,1
253,32.0733333333333,3
254,115.4325,12
255,96.4526666666667,15
256,65.565,2
257,34.9505263157895,19
258,94.08,1
259,63.6,2
260,110.51,13
261,57.96875,8
262,80.4093333333333,15
263,54.765,2
264,61.9325,8
265,24.505,2
267,66.012,20
268,42.4957142857143,14
269,75.4523809523809,21
270,7.555,2
271,105.93,1
272,53.36,3
273,43.795,16
274,71.2375,4
275,126.71,1
276,85.5033333333333,6
278,60,1
279,126.343636363636,22
280,60,1
281,60,1
282,0.14,1
283,86.2528571428571,7
284,21.53,3
285,46.83,1
286,59.1333333333333,30
287,60.5333333333333,3
288,60,1
289,102.84,22
290,75.918,5
291,31.1885714285714,14
292,73.27,13
293,49.1568965517241,29
295,49.9622222222222,18
297,60,1
298,28.3488888888889,18
299,75.8533333333333,3
300,0.56,1
301,77.3983333333333,6
302,60,1
303,60.9966666666667,3
304,0.16,1
305,83.2614285714286,7
306,57.7729166666667,24
308,35.313,20
309,27.2328571428571,35
310,65.24875,8
311,51.4428571428571,7
312,232.28,1
313,60.23,2
314,26.02,1
315,60,2
316,2.81954545454545,22
317,59.9983333333333,12
318,15.37,1
319,91.615,14
320,60,2
321,52.585,16
322,67.4766666666667,3
323,39.9211111111111,9
324,70.6807142857143,28
325,0.22,1
326,60,1
327,60,5
329,30.19,1
330,75.318,5
331,94.5668421052632,19
333,60,1
334,60,2
335,63.16,1
336,89.77,9
337,60.891,10
338,60,1
339,60,8
340,68.837,10
341,46.9325,12
342,26.6036363636364,11
343,19.0230769230769,13
344,105.768888888889,9
345,67.64,10
346,60,1
348,49.3354545454545,22
349,43.0433333333333,3
350,65.2825,4
352,84.3492857142857,28
353,22.54,1
354,37.5005555555556,18
355,90.7507142857143,28
356,40.41,1
357,61.48,3
358,35.262,20
359,52.6359090909091,22
360,66.8485714285714,7
361,20.08,1
362,60,1
364,47.74,3
365,69.6874193548387,31
366,60,5
367,156.367142857143,7
369,60,3
370,132.98,1
371,56.7892,25
372,105.912380952381,21
373,43.82,2
375,95.7858333333333,24
376,62.5,1
377,48.475,2
378,60,39
379,37.895,2
381,28.8772413793103,29
382,60,1
383,25.9370833333333,24
384,75.825,52
385,90.85,2
386,54.68,1
387,22.3266666666667,12
388,21.2528571428571,7
389,60,2
390,87.84375,8
391,40.0166666666667,3
392,26.6285714285714,21
393,49.1242857142857,14
394,36.935,4
395,86.145,22
396,45.6225,4
397,52.6131578947368,19
398,62.5214814814815,27
400,55.746,20
401,60,1
402,48.1975,4
403,59.1611111111111,9
404,60,1
405,25.7,1
406,93.0481081081081,74
407,197.368,10
408,54.8563636363636,22
409,66.3333333333333,3
410,41.1577777777778,9
411,62.0514285714286,7
412,96.52,1
414,31.3334782608696,23
415,54.11,1
417,104.78,2
418,96.46125,24
