"IN","av","count","class"
1212,91.535,22,2
1217,59.8233333333333,3,2
1219,76.92,2,2
1223,60,5,2
1225,58.6966666666667,6,2
1230,55.73,2,2
1231,49.53,15,2
1233,60,1,2
1241,49.41,1,2
1242,60,1,2
1243,23.88,1,2
1244,60,8,2
1245,55.0075,4,2
1247,76.404,15,2
1248,60,1,2
1250,61.4666666666667,9,2
1257,23.47,10,2
1261,70.8354545454545,11,2
1262,36.5172727272727,11,2
1263,60,1,2
1265,102.03125,24,2
1268,21.235,2,2
1273,82.1111111111111,9,2
1284,126.888333333333,12,2
1286,42.255,2,2
1288,60,2,2
1297,96.1658620689655,29,2
1301,62.9,1,2
1303,60,2,2
1309,38.7833333333333,3,2
1312,60,2,2
1314,96.1668253968254,63,2
1318,139.745,2,2
1321,60,1,2
1324,60,4,2
1327,54.7166666666667,3,2
1338,60,2,2
1347,60,2,2
1348,45.72,7,2
1353,64.265,4,2
1354,69.8336363636364,11,2
1359,106.261888888889,90,2
1361,37.25,1,2
1365,31.8895,20,2
1368,79.2633333333333,48,2
1381,62.41,8,2
1382,60,1,2
1383,22.62,1,2
1388,22.2363157894737,19,2
1390,84.7763636363636,11,2
1416,134.97,2,2
1419,120.606,10,2
1434,34.28,1,2
1439,31.88,3,2
1447,93.2115,40,2
1449,50.9546153846154,26,2
1455,51.9766666666667,3,2
1456,60,1,2
1464,32.9697142857143,35,2
1466,41.28,4,2
1467,106.726842105263,19,2
1477,60,1,2
1479,46.7566666666667,18,2
1480,49.83,2,2
1482,101.676133333333,75,2
1487,116.965,32,2
1491,83.7,1,2
1499,66.6135714285714,14,2
1503,60,1,2
1504,63.9,2,2
1505,50.3338461538462,13,2
1517,60,1,2
1518,59.3483333333333,6,2
1530,2.18,1,2
1533,89.5829166666667,24,2
1545,76.9235294117647,17,2
1546,96.0128571428571,7,2
1550,76.6668965517241,29,2
1553,66.5266666666667,15,2
1554,60,1,2
1561,60,2,2
1568,84.9,5,2
1569,81.7178571428571,14,2
1575,77.863,10,2
1578,46.48,8,2
1585,53.9071428571429,7,2
1588,85.6988888888889,9,2
1593,60,1,2
1594,60,9,2
1597,82.6,2,2
1601,101.710476190476,21,2
1605,78.91,31,2
1611,50.212,5,2
1618,87.8,7,2
1624,60,1,2
1631,63.4971428571429,28,2
1632,55.9711111111111,9,2
1640,26.44,1,2
1648,12.59,1,2
1656,75.904,5,2
1659,60,7,2
1663,94.685,2,2
1666,59.45,6,2
1669,66.5548571428571,35,2
1670,65.5971428571429,7,2
1673,52.2614285714286,7,2
1674,60,1,2
1684,60,1,2
1693,78.0761764705882,34,2
1708,68.2983333333333,12,2
1709,60,5,2
1711,79.08,28,2
1716,53.1666666666667,3,2
817,103.15,7,3
1205,36.3833333333333,3,3
219,162.304594594595,37,3
320,72.4854545454545,11,3
360,60,1,3
372,104.226,10,3
408,60.63,1,3
548,39.8,1,3
562,34.946,5,3
570,50.9025,4,3
646,59.7048717948718,39,3
667,87.8107692307692,13,3
676,93.32,1,3
679,92.4886363636364,22,3
685,99.87,3,3
731,34.572,5,3
845,78.6125,4,3
902,24.75,1,3
1004,19.2433333333333,3,3
1031,84.1108333333333,12,3
1049,60,1,3
1093,60,3,3
1103,78.2087096774193,31,3
1148,41.7542105263158,19,3
1157,63.616976744186,43,3
1215,91.454,5,3
1294,60,1,3
1386,1.59,1,3
1431,27.8419047619048,21,3
1460,60,1,3
1552,134.17,4,3
1625,53.8464,25,3
1702,80.9665,20,3
4,64.135,8,3
20,79.33875,16,3
28,115.4475,4,3
36,60,1,3
38,60.85,3,3
44,127.1,3,3
45,67.1236363636364,22,3
47,60,1,3
51,60,3,3
58,43.75,2,3
59,60,1,3
64,70.69,4,3
65,91.3433333333333,3,3
74,60,1,3
82,71.8,2,3
88,71.765,12,3
91,57.855,2,3
92,88.1975,4,3
112,60,1,3
120,70.736,10,3
123,93.0741176470588,17,3
125,152.01,15,3
126,111.6,3,3
130,77.688,5,3
132,81.38,1,3
133,67.286,5,3
154,96.066,5,3
167,58.075,36,3
171,60,7,3
181,60,2,3
183,77.0007692307692,13,3
185,60,1,3
186,56.94,1,3
188,76.9088888888889,9,3
197,60,2,3
204,60,1,3
207,63.375,2,3
213,60,1,3
225,88.4381818181818,33,3
228,112.0625,4,3
240,82.2732352941177,34,3
250,125.917272727273,11,3
259,54.765,2,3
260,61.9325,8,3
263,69.48,19,3
265,58.5425,20,3
287,73.27,13,3
301,35.313,20,3
309,60,1,3
313,60,2,3
315,67.4766666666667,3,3
318,60,1,3
319,60,5,3
325,60,1,3
329,60.891,10,3
330,60,1,3
338,60,1,3
341,64.495,2,3
345,22.54,1,3
349,61.48,3,3
353,20.08,1,3
354,60,1,3
357,69.6874193548387,31,3
359,74.3083333333333,6,3
363,56.7892,25,3
374,60,1,3
382,100.381428571429,7,3
400,54.8563636363636,22,3
430,117.35,1,3
431,78.89,1,3
443,60,2,3
451,56.5,1,3
467,55.39,4,3
479,60,2,3
481,90.9875,8,3
485,35.6966666666667,3,3
494,65.1842857142857,7,3
507,111.04,1,3
513,60,1,3
515,22.91,1,3
517,72.2416666666667,18,3
523,78.495,2,3
533,84.2335714285714,14,3
553,60,2,3
557,17.83,1,3
566,7.19,1,3
568,34,1,3
569,62.13,1,3
575,12.42,1,3
583,60,4,3
610,40.9666666666667,3,3
613,57.165,4,3
620,46.49,1,3
632,60,2,3
655,125.74,4,3
662,87.3632,25,3
665,60,1,3
670,45.72,1,3
672,41.27,4,3
686,62.17625,8,3
698,10.04,1,3
725,5.65,1,3
727,43.0533333333333,3,3
728,80.3157142857143,7,3
780,60,1,3
790,26.94,3,3
795,68.7,3,3
799,54.4175,4,3
802,60,1,3
803,95.3771428571429,7,3
807,80.37,4,3
811,60,2,3
818,129.205714285714,7,3
819,60,1,3
826,23.745,2,3
838,188.99,1,3
843,60,1,3
851,14.37,1,3
856,97.7771428571429,21,3
858,60,1,3
872,79.34875,8,3
877,52.715,2,3
878,17.63,1,3
880,78.6682352941177,34,3
892,51.745,2,3
894,51.3566666666667,3,3
917,60,1,3
923,68.6753846153846,26,3
928,60,9,3
930,60.605,4,3
934,65.2988888888889,9,3
945,27.311,10,3
959,99.03,2,3
964,109.635,36,3
986,60,1,3
1012,32.38,3,3
1021,79.5433333333333,3,3
1022,6.55,1,3
1026,60,1,3
1035,60,1,3
1037,60,1,3
1047,61.11,1,3
1050,60,3,3
1053,161.452272727273,44,3
1057,60,1,3
1061,135.101428571429,14,3
1064,103.13,1,3
1068,85.9,2,3
1070,60,1,3
1076,60,1,3
1084,60,1,3
1104,63.4636363636364,11,3
1118,106.06,2,3
1122,55.6133333333333,3,3
1129,105.0265,20,3
1130,60,1,3
1156,70.43,1,3
1160,90.2216666666667,6,3
1175,60,1,3
1179,99.22,1,3
1183,147.265,2,3
1185,35.155,2,3
1186,60,1,3
1193,67.1,1,3
1199,25.4,9,3
1213,45.0964705882353,17,3
1229,61.9742857142857,7,3
1240,75.6,1,3
1253,26.6,1,3
1255,87.534,5,3
1258,18.6,2,3
1264,115.04,11,3
1266,98.885,2,3
1271,145.84,2,3
1274,49.74,3,3
1278,63.014,10,3
1279,60,1,3
1291,32.8875,4,3
1295,60,1,3
1298,60,2,3
1299,85.5625,4,3
1300,60,1,3
1302,64.485,2,3
1313,65.9535294117647,17,3
1317,95.1795384615385,65,3
1329,60,2,3
1331,68.6914285714286,7,3
1332,60,1,3
1340,26.5176923076923,13,3
1341,65.39125,8,3
1343,31.5190909090909,11,3
1357,60,6,3
1358,57.9433333333333,3,3
1360,60,1,3
1366,36.72875,8,3
1379,24.44,1,3
1396,65.4533333333333,9,3
1397,76.1,1,3
1402,59.9746666666667,15,3
1405,43.545,2,3
1408,60,1,3
1420,74.795,10,3
1421,54.9270588235294,17,3
1423,23.21,1,3
1444,42.18,23,3
1446,60,1,3
1451,86.41,3,3
1454,60,1,3
1465,64.44,1,3
1470,74.876,10,3
1471,60,1,3
1474,60,1,3
1481,79.4075,4,3
1495,98.765,2,3
1497,85.5770588235294,17,3
1510,82.6475,16,3
1511,60,2,3
1531,103.517727272727,22,3
1538,79.6766666666667,3,3
1567,60,10,3
1576,1.91,1,3
1582,60,1,3
1596,122.695,2,3
1598,96.38,11,3
1600,60,1,3
1620,60,1,3
1629,38.91,1,3
1635,60,1,3
1636,60,1,3
1641,21.3,1,3
1642,84.7077777777778,9,3
1650,74.9686666666667,15,3
1655,49.7541666666667,12,3
1671,63.5063636363636,11,3
1676,82.631,20,3
1682,249.24,1,3
1696,49.48375,16,3
1699,60,1,3
1712,60,1,3
1717,77.46,1,3
1718,111.55,1,3
765,60,1,4
81,41.36,3,4
588,129.76,5,4
627,10.41,1,4
783,43.27,1,4
850,74.9061290322581,31,4
1086,60,1,4
1476,168.03,1,4
1512,60,1,4
10,15.38,1,4
17,41.29,1,4
27,60,1,4
68,125.665,2,4
84,60,1,4
87,126.6,3,4
93,56.62,2,4
95,52.1933333333333,3,4
97,60,1,4
98,80.46,1,4
119,71.62375,8,4
175,80.98,1,4
179,46.75,1,4
187,60,1,4
209,60,1,4
261,24.505,2,4
271,126.71,1,4
296,60,1,4
304,60,6,4
308,60,2,4
361,60,3,4
364,111.204,20,4
370,60,39,4
378,54.68,1,4
392,55.746,20,4
393,60,1,4
402,41.1577777777778,9,4
414,60,1,4
415,60,1,4
435,60.55,1,4
449,5.92,1,4
450,60,1,4
466,47.36,1,4
474,55.1142857142857,7,4
477,95.81,1,4
510,71.175,2,4
525,74.1,5,4
534,60,1,4
541,67.1688235294118,34,4
559,46.5333333333333,6,4
565,60,1,4
574,45.2768421052632,19,4
589,137.53,1,4
597,120.255740740741,54,4
608,60.3841666666667,36,4
626,60,2,4
635,17.14,1,4
636,64.683125,16,4
637,51.73,1,4
642,180.69,1,4
645,58.1022222222222,9,4
659,28.91,1,4
681,60,1,4
693,60,1,4
710,108.7525,4,4
729,60,1,4
737,11.24,1,4
740,99.925,2,4
774,60,1,4
779,62.53,1,4
810,1.54,1,4
862,49.46,1,4
887,79.44,25,4
889,31.76,4,4
918,46.785,2,4
933,105.557,10,4
937,60,1,4
944,9.555,2,4
988,60,1,4
993,86.4875,4,4
999,91.4211111111111,9,4
1001,83.81,2,4
1005,60,1,4
1016,60,6,4
1018,24.44,1,4
1019,58.493,20,4
1027,43.5,15,4
1042,184.38,1,4
1080,102.05,3,4
1081,132.5425,4,4
1085,117.755,2,4
1096,137.759444444444,18,4
1107,60,1,4
1112,59.93,3,4
1285,60,1,4
1289,45.06,1,4
1310,88.8025,20,4
1322,60,1,4
1325,52.1242857142857,7,4
1330,60,1,4
1346,44.2157142857143,7,4
1376,76.9320689655172,29,4
1413,58.9032,25,4
1414,60,1,4
1437,83.355,2,4
1468,103.609090909091,11,4
1473,69.4466666666667,3,4
1496,60,1,4
1509,80.5491666666667,12,4
1523,60,1,4
1526,87.7175,8,4
1527,25.93,2,4
1547,60,2,4
1555,3.35,1,4
1559,60,1,4
1572,45.635,2,4
1579,58.825,2,4
1599,66.429,10,4
1619,62.31,1,4
1621,83.82,1,4
1623,60,1,4
1692,78.2916666666667,6,4
1701,68.7736363636364,11,4
